Type,Author,Name,ID
LLM,Anthropic,Claude Sonnet 3.7,anthropic-claude-3.7-sonnet
LLM,Anthropic,Claude Sonnet 4.5,anthropic-claude-4.5-sonnet
Embedding,Elastic,ELSER v2,elser-v2
Embedding,Jina,Embeddings v3,jina-embeddings-v3
LLM,OpenAI,GPT-OSS 120B,openai-gpt-oss-120b
LLM,Google,Gemini 3.0 Pro,google-gemini-3.0-pro
LLM,Google,Gemini 3.0 Flash,google-gemini-3.0-flash
LLM,Google,Gemini 2.5 Pro,google-gemini-2.5-pro
LLM,Google,Gemini 2.5 Flash,google-gemini-2.5-flash
LLM,OpenAI,GPT-4.1,openai-gpt-4.1
LLM,OpenAI,GPT-4.1 Mini,openai-gpt-4.1-mini
LLM,OpenAI,GPT-5.2,openai-gpt-5.2
LLM,OpenAI,GPT-OSS 120B,openai-gpt-oss-120b
LLM,OpenAI,GPT-OSS 20B,openai-gpt-oss-20b
Embedding,OpenAI,Text Embedding 003 Small,openai-text-embedding-3-small
Embedding,OpenAI,Text Embedding 003 Large,openai-text-embedding-3-large
Embedding,Google,Gemini Embedding 001,google-gemini-embedding-001
Embedding,Jina,Embeddings v3,jina-embeddings-v3
Reranker,Jina,Reranker v2,jina-reranker-v2-base-multilingual
Reranker,Jina,Reranker v3,jina-reranker-v3
LLM,Anthropic,Claude Opus 4.5,anthropic-claude-4.5-opus
LLM,Anthropic,Claude Haiku 4.5,anthropic-claude-4.5-haiku
Embedding,Qwen,Qwen3 Embedding 8B,qwen-qwen3-embedding-8b
Embedding,Qwen,Qwen3 Embedding 4B,qwen-qwen3-embedding-4b
Embedding,Qwen,Qwen3 Embedding 0.6B,qwen-qwen3-embedding-0.6b
Embedding,Microsoft,Multilingual E5 Large,microsoft-multilingual-e5-large
Embedding,BAAI,BGE M3,baai-bge-m3
Embedding,Jina,CLIP v2,jina-clip-v2
Reranker,Jina,Reranker m0,jina-reranker-m0
LLM,Jina,VLM,jina-vlm
LLM,Jina,ReaderLM v2,jinar-readlm-v2
LLM,Jina,ReaderLM v3,jinar-readlm-v3
LLM,DeepSeek,DeepSeek v3.2,deepseek-v3.2
LLM,Qwen,Qwen3 series,qwen-qwen3-xxx
Embedding,Cohere,Embed v4.0,cohere-embed-v4.0
Reranker,Cohere,Rerank v4.0 Pro,cohere-rerank-v4.0-pro
Reranker,Cohere,Rerank v4.0 Fast,cohere-rerank-v4.0-fast
LLM,Qwen,Qwen3 VL series,qwen-qwen3-vl-xxx
Embedding,Qwen,Qwen3 VL Embedding 2B,qwen/qwen3-vl-embedding-2B
Embedding,Qwen,Qwen3 VL Embedding 8B,qwen/qwen3-vl-embedding-8B
Reranker,Qwen,Qwen3 VL Reranker 2B,qwen/qwen3-vl-reranker-2B
Reranker,Qwen,Qwen3 VL Reranker 8B,qwen/qwen3-vl-reranker-8B
LLM,NVIDIA,Nemotron,nvidia-nemotron-xxx
LLM,Moonshot AI,Kimi K2,moonshot-kimi-k2
LLM,MiniMax,M2,minimax-m2
LLM,OpenAI,o4,openai-o4
LLM,OpenAI,o4 Mini,openai-o4-mini
LLM,Meta,Llama,meta-llama-xxx
LLM,Amazon,Nova 2,amazon-nova-2
LLM,OpenAI,GPT-OSS 120B (tools),openai-gpt-oss-120b-tools
LLM,OpenAI,GPT-OSS 20B (tools),openai-gpt-oss-20b-tools
Embedding,Jina,Embeddings V5 Text,TBD
