Name,Technique,Rule Type,Severity,Source,Guide
Account or Group Discovery via Built-In Tools,"T1069, T1069.001, T1069.002, T1087, T1087.001, T1087.002",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_of_accounts_or_groups_via_builtin_tools.toml),
Active Directory Discovery using AdExplorer,"T1016, T1018, T1069, T1069.002, T1087, T1087.002, T1482",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_ad_explorer_execution.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-ad-explorer-execution.md)
AdFind Command Activity,"T1016, T1018, T1069, T1069.002, T1087, T1087.002, T1482",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/discovery_adfind_command_activity.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-adfind-command-activity.md)
AWS Discovery API Calls via CLI from a Single Resource,T1580,ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/discovery_multiple_discovery_api_calls_via_cli.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-multiple-discovery-api-calls-via-cli.md)
AWS EC2 Deprecated AMI Discovery,T1580,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/discovery_ec2_deprecated_ami_discovery.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-ec2-deprecated-ami-discovery.md)
AWS EC2 Multi-Region DescribeInstances API Calls,T1580,ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_ec2_multi_region_describe_instances.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-ec2-multi-region-describe-instances.md)
AWS EC2 User Data Retrieval for EC2 Instance,"T1552, T1552.005, T1580",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/discovery_ec2_userdata_request_for_ec2_instance.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-ec2-userdata-request-for-ec2-instance.md)
AWS IAM Principal Enumeration via UpdateAssumeRolePolicy,"T1087, T1087.004, T1110",Threshold,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/discovery_iam_principal_enumeration_via_update_assume_role_policy.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-iam-principal-enumeration-via-update-assume-role-policy.md)
AWS S3 Bucket Enumeration or Brute Force,"T1530, T1619, T1657",Threshold,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_aws_s3_bucket_enumeration_or_brute_force.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-aws-s3-bucket-enumeration-or-brute-force.md)
AWS S3 Unauthenticated Bucket Access by Rare Source,"T1485, T1530, T1619",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/collection_s3_unauthenticated_bucket_access_by_rare_source.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/collection-s3-unauthenticated-bucket-access-by-rare-source.md)
AWS Service Quotas Multi-Region GetServiceQuota Requests,T1580,ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/discovery_servicequotas_multi_region_service_quota_requests.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-servicequotas-multi-region-service-quota-requests.md)
AWS SSM Inventory Reconnaissance by Rare User,"T1538, T1580",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/discovery_ssm_inventory_reconnaissance.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-ssm-inventory-reconnaissance.md)
AWS STS GetCallerIdentity API Called for the First Time,"T1087, T1087.004",New Terms,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/discovery_new_terms_sts_getcalleridentity.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-new-terms-sts-getcalleridentity.md)
Deprecated - PowerShell Script with Discovery Capabilities,"T1007, T1012, T1049, T1057, T1059, T1059.001, T1082, T1083, T1087, T1087.001, T1087.002, T1135, T1201, T1482, T1518, T1518.001, T1615",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_posh_generic.toml),
Deprecated - Unusual Discovery Activity by User,,New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_signal_unusual_user_host.toml),
Discovery Command Output Written to Suspicious File,"T1074, T1074.001, T1082",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/collection_discovery_output_written_to_suspicious_file.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/collection-discovery-output-written-to-suspicious-file.md)
Discovery of Domain Groups,T1069,EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_of_domain_groups.toml),
Discovery of Internet Capabilities via Built-in Tools,"T1016, T1016.001",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/discovery_internet_capabilities.toml),
DNS Request for IP Lookup Service via Unsigned Binary,"T1016, T1016.001",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/macos/discovery_dns_request_for_ip_lookup_service.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-dns-request-for-ip-lookup-service.md)
Docker Socket Enumeration,T1613,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_docker_socket_discovery.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-docker-socket-discovery.md)
