Name,Technique,Rule Type,Severity,Source,Guide
Account Password Reset Remotely,"T1098, T1531",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/persistence_remote_password_reset.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-remote-password-reset.md)
Attempt to Deactivate an Okta Application,T1489,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/okta/impact_okta_attempt_to_deactivate_okta_application.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-okta-attempt-to-deactivate-okta-application.md)
Attempt to Delete an Okta Application,T1489,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/okta/impact_okta_attempt_to_delete_okta_application.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-okta-attempt-to-delete-okta-application.md)
Attempt to Modify an Okta Application,,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/okta/impact_okta_attempt_to_modify_okta_application.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-okta-attempt-to-modify-okta-application.md)
Attempt to Revoke Okta API Token,T1531,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/okta/impact_attempt_to_revoke_okta_api_token.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-attempt-to-revoke-okta-api-token.md)
AWS CloudTrail Log Updated,"T1530, T1565, T1565.001",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_cloudtrail_logging_updated.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-cloudtrail-logging-updated.md)
AWS CloudWatch Log Group Deletion,"T1485, T1562, T1562.001",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_cloudwatch_log_group_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-cloudwatch-log-group-deletion.md)
AWS CloudWatch Log Stream Deletion,"T1485, T1562, T1562.001",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_cloudwatch_log_stream_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-cloudwatch-log-stream-deletion.md)
AWS EC2 EBS Snapshot Access Removed,"T1485, T1490",EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_ec2_ebs_snapshot_access_removed.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-ec2-ebs-snapshot-access-removed.md)
AWS EC2 Encryption Disabled,"T1565, T1565.001",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_ec2_disable_ebs_encryption.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-ec2-disable-ebs-encryption.md)
AWS EFS File System Deleted,T1485,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_efs_filesystem_deleted.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-efs-filesystem-deleted.md)
AWS EventBridge Rule Disabled or Deleted,T1489,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_aws_eventbridge_rule_disabled_or_deleted.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-aws-eventbridge-rule-disabled-or-deleted.md)
AWS IAM Deactivation of MFA Device,"T1531, T1556, T1556.006",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_iam_deactivate_mfa_device.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-iam-deactivate-mfa-device.md)
AWS IAM Group Deletion,T1531,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_iam_group_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-iam-group-deletion.md)
AWS KMS Customer Managed Key Disabled or Scheduled for Deletion,T1485,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_kms_cmk_disabled_or_scheduled_for_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-kms-cmk-disabled-or-scheduled-for-deletion.md)
AWS RDS DB Instance or Cluster Deleted,T1485,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/impact_rds_instance_cluster_deletion.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/impact-rds-instance-cluster-deletion.md)
