Name,Technique,Rule Type,Severity,Source
Adversary Behavior - Detected - Elastic Endgame,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/endgame_adversary_behavior_detected.toml)
Alerts From Multiple Integrations by Destination Address,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/multiple_alerts_from_different_modules_by_dstip.toml)
Alerts From Multiple Integrations by Source Address,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/multiple_alerts_from_different_modules_by_srcip.toml)
Alerts From Multiple Integrations by User Name,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/multiple_alerts_from_different_modules_by_user.toml)
Alerts in Different ATT&CK Tactics by Host,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/multiple_alerts_risky_host_esql.toml)
AWS Bedrock Detected Multiple Attempts to use Denied Models by a Single User,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws_bedrock/aws_bedrock_multiple_attempts_to_use_denied_models_by_user.toml)
AWS Bedrock Detected Multiple Validation Exception Errors by a Single User,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws_bedrock/aws_bedrock_multiple_validation_exception_errors_by_single_user.toml)
AWS Bedrock Guardrails Detected Multiple Policy Violations Within a Single Blocked Request,,ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws_bedrock/aws_bedrock_guardrails_multiple_violations_in_single_request.toml)
AWS Bedrock Guardrails Detected Multiple Violations by a Single User Over a Session,,ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws_bedrock/aws_bedrock_guardrails_multiple_violations_by_single_user.toml)
AWS Bedrock Invocations without Guardrails Detected by a Single User Over a Session,,ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws_bedrock/aws_bedrock_execution_without_guardrails.toml)
Azure OpenAI Insecure Output Handling,,ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure_openai/azure_openai_insecure_output_handling_detection.toml)
Behavior - Detected - Elastic Defend,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/endpoint/elastic_endpoint_security_behavior_detected.toml)
Behavior - Prevented - Elastic Defend,,Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/endpoint/elastic_endpoint_security_behavior_prevented.toml)
Container Workload Protection,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/cloud_defend/container_workload_protection.toml)
Correlated Alerts on Similar User Identities,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/multiple_alerts_llm_by_user_entity.toml)
CrowdStrike External Alerts,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/crowdstrike_external_alerts.toml)
Elastic Defend and Email Alerts Correlation,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/multiple_alerts_email_elastic_defend_correlation.toml)
Elastic Defend and Network Security Alerts Correlation,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/multiple_alerts_elastic_defend_netsecurity_by_host.toml)
Elastic Security External Alerts,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/elastic_security_external_alerts.toml)
Endpoint Security (Elastic Defend),,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/endpoint/elastic_endpoint_security.toml)
Entra ID Protection - Risk Detection,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules_building_block/entra_id_identity_protection_risk_detections.toml)
External Alerts,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/external_alerts.toml)
Forwarded Google Workspace Security Alert,,Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/google_workspace/google_workspace_alert_center_promotion.toml)
Google SecOps External Alerts,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/google_secops_external_alerts.toml)
Google Workspace Object Copied to External Drive with App Consent,,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/google_workspace/initial_access_object_copied_to_external_drive_with_app_consent.toml)
LLM-Based Attack Chain Triage by Host,,ES|QL,Critical,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/multiple_alerts_llm_attack_chain_triage_by_host.toml)
