Name,Technique,Rule Type,Severity,Source,Guide
Potential Network Scan Detected,"T1046, T1595, T1595.001",ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/network/discovery_potential_port_scan_detected.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-potential-port-scan-detected.md)
Potential Network Sweep Detected,"T1046, T1595, T1595.001",Threshold,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/network/discovery_potential_network_sweep_detected.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-potential-network-sweep-detected.md)
Potential Spike in Web Server Error Logs,"T1595, T1595.002, T1595.003",ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/reconnaissance_web_server_unusual_spike_in_error_logs.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/reconnaissance-web-server-unusual-spike-in-error-logs.md)
Potential SYN-Based Port Scan Detected,"T1046, T1595, T1595.001",Threshold,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/network/discovery_potential_syn_port_scan_detected.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-potential-syn-port-scan-detected.md)
Spike in Firewall Denies,"T1041, T1046, T1071, T1498, T1499, T1590",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/ml/ml_high_count_network_denies.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/ml-high-count-network-denies.md)
Spike in Network Traffic,"T1041, T1046, T1498, T1595",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/ml/ml_high_count_network_events.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/ml-high-count-network-events.md)
Spike in Network Traffic To a Country,"T1041, T1046, T1071, T1595",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/ml/ml_spike_in_traffic_to_a_country.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/ml-spike-in-traffic-to-a-country.md)
Suspicious Network Tool Launch Detected via Defend for Containers,"T1046, T1105, T1595",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/cloud_defend/discovery_suspicious_network_tool_launched_inside_a_container.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-suspicious-network-tool-launched-inside-a-container.md)
Suspicious Network Tool Launched Inside A Container,"T1046, T1105, T1595",EQL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/linux/discovery_suspicious_network_tool_launched_inside_container.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/discovery-suspicious-network-tool-launched-inside-container.md)
Web Server Discovery or Fuzzing Activity,"T1595, T1595.002, T1595.003",ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/reconnaissance_web_server_discovery_or_fuzzing_activity.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/reconnaissance-web-server-discovery-or-fuzzing-activity.md)
Web Server Potential Command Injection Request,"T1059, T1059.004, T1071, T1505, T1505.003, T1595, T1595.002, T1595.003",ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/persistence_web_server_potential_command_injection.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-web-server-potential-command-injection.md)
Web Server Potential Spike in Error Response Codes,"T1595, T1595.002, T1595.003",ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/reconnaissance_web_server_unusual_spike_in_error_response_codes.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/reconnaissance-web-server-unusual-spike-in-error-response-codes.md)
Web Server Suspicious User Agent Requests,"T1110, T1595, T1595.001, T1595.002, T1595.003",ES|QL,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/reconnaissance_web_server_unusual_user_agents.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/reconnaissance-web-server-unusual-user-agents.md)
